cross_entropy,discrepancy,ce_weight,lambda_is,lambda_ic,accuracy,nll,ece,lorentz_top1_agreement,lorentz_1_minus_jsd,teacher_top1_agreement,teacher_1_minus_jsd
without_cross_entropy,cosine,0,1,1,0.7044354838709678,18.245110180270288,0.29012053129004867,0.8824541330645161,0.8886452207163937,0.7858467741935484,0.7884869023446114
without_cross_entropy,distance_mse,0,1,0.125,0.2685,3.9757768251972814,0.554053700308045,0.8192807459677419,0.9209974936793047,0.26383064516129034,0.42263171866632276
without_cross_entropy,mse,0,1,0.5,0.7003145161290323,0.9154867770902572,0.0915048036008112,0.8757484879032259,0.9509156240902601,0.7809435483870968,0.8912342290801387
without_cross_entropy,smooth_l1,0,1,1,0.6956451612903226,0.9626203968909479,0.10110554347079126,0.8689107862903226,0.9436249223982375,0.7756612903225807,0.8848695964813232
with_cross_entropy,cosine,1,128,8,0.7019193548387097,0.8541641235351562,0.022451292259438368,0.8772434475806452,0.962357283194309,0.7825725806451613,0.8906171645041435
with_cross_entropy,distance_mse,1,1,1,0.6979677419354838,0.8599112982903757,0.0219797016191146,0.8660332661290322,0.9594494429799698,0.7766370967741936,0.8871274799531506
with_cross_entropy,mse,1,32,1,0.6966209677419355,0.9317402815049695,0.09203140960393413,0.8693961693548387,0.948322877583845,0.7764435483870967,0.887412052354505
with_cross_entropy,smooth_l1,1,8,8,0.6948467741935483,0.9303454676597349,0.07901970620393274,0.868461189516129,0.9487290654674533,0.7757983870967742,0.8869849903891164
