series_type,method,temperature,relation_discrepancy,accuracy,nll,ece,lorentz_top1_agreement,lorentz_1_minus_jsd,teacher_top1_agreement,teacher_1_minus_jsd
temperature_curve,hint,1,,,0.7042903225806452,0.8197486850676998,0.011450051105310815,0.8828351814516129,0.9700069184683624,0.7863629032258065,0.8934871201515198
temperature_curve,hint,2,,,0.7022177419354839,0.8521044904647335,0.06524012092164445,0.8822283266129033,0.9616871359255765,0.784258064516129,0.8958252132246571
temperature_curve,hint,4,,,0.7013629032258064,0.8836434453533542,0.08329410848550262,0.882749495967742,0.9575483220339782,0.7829435483870968,0.8942304918381476
temperature_curve,hint,8,,,0.7005645161290323,0.8985251388549804,0.08402545121420295,0.8805811491935484,0.956212592230569,0.7818548387096774,0.892631708006705
temperature_curve,hint,16,,,0.6995645161290323,0.8965004752682101,0.08159413563267837,0.8791083669354839,0.9560016582776462,0.7806209677419355,0.8918738615666666
temperature_curve,hint_beta,1,,,0.7035645161290323,0.8197326690919937,0.010502255643567718,0.882429939516129,0.9706989765417191,0.7856370967741936,0.8932771359105264
temperature_curve,hint_beta,2,,,0.7037741935483871,0.8447104395897158,0.060196226514875904,0.8839692540322581,0.9628792000911048,0.7859435483870968,0.8971910581127289
temperature_curve,hint_beta,4,,,0.7030403225806452,0.8727654047627603,0.0747685257808095,0.8831587701612904,0.9593328308041298,0.78475,0.8951970592391106
temperature_curve,hint_beta,8,,,0.7017741935483871,0.8814034017132174,0.07409348124361806,0.8818911290322581,0.9582067579702744,0.7828951612903225,0.8941357302819529
temperature_curve,hint_beta,16,,,0.7013709677419355,0.8889219042870307,0.07332912342046058,0.8811260080645161,0.9574612777383337,0.78225,0.8931621741171806
temperature_curve,kd,1,,,0.6855806451612904,0.8631075169963222,0.008756935479540023,0.859757056451613,0.9657995938337258,0.7635967741935484,0.8754347692920316
temperature_curve,kd,2,,,0.6829435483870968,0.8867953537971742,0.05525042589177047,0.861210685483871,0.9579933917843887,0.7616854838709678,0.8782746686935425
temperature_curve,kd,4,,,0.6812258064516129,0.9181467899507092,0.07280376007708331,0.8598170362903226,0.9528745550608804,0.7591774193548387,0.8773026076747525
temperature_curve,kd,8,,,0.6823145161290323,0.9248170396128008,0.07236706935506193,0.8589359879032258,0.9511169433955464,0.7591451612903226,0.8768974191604122
temperature_curve,kd,16,,,0.6794435483870968,0.9341738510131836,0.07075849309972218,0.8557711693548387,0.9499035904323382,0.755766129032258,0.8748974995151643
reference,teacher,,,0.8136290322580645,0.5358046291412846,0.007028224203735589,0.9948830645161291,0.9997656897796788,,
reference,baseline,,,0.6881612903225807,0.8572277129696262,0.012532817345473062,0.8522938508064517,0.9607722425677724,0.7659193548387097,0.8777150462212101
reference,relational,,cosine,0.7019193548387097,0.8541641235351562,0.022451292259438368,0.8772434475806452,0.962357283194309,0.7825725806451613,0.8906171645041435
